,ibu,style
470,16.0,Saison / Farmhouse / Grisette
471,66.0,IPA
472,73.0,IPA
473,10.0,Gose
474,74.0,Stout - Milk / Sweet
475,16.0,Smoked - Rauchbier
476,22.0,Pilsener / Pils / Pilsner
477,30.0,Bock- Heller Bock / Maibock
478,24.0,Flavored - Other
479,29.0,Scotch Ale / Wee Heavy
480,67.0,Pilsener - Imperial
481,78.0,IPA
482,30.0,Saison / Farmhouse / Grisette
483,62.0,IPA
484,28.0,Stout
485,45.0,Stout
486,34.0,Schwarzbier / Black Lager
487,18.0,Witbier / Belgian White Ale
488,72.0,IPA
489,32.0,Porter
490,50.0,Bitter - Premium / Strong / ESB
491,24.0,Blonde Ale / Golden Ale
492,51.0,IPA
493,57.0,IPA
494,35.0,Bock- Heller Bock / Maibock
495,26.0,Belgian Ale - Strong Pale
496,21.0,Dubbel
497,80.0,IPA
498,28.0,Scotch Ale / Wee Heavy
499,16.0,Red Ale / Intl Amber Ale
500,24.0,Märzen / Oktoberfest Bier
501,16.0,Flavored - Other
502,30.0,Pale Ale - English
503,28.0,Märzen / Oktoberfest Bier
504,76.0,BarleyWine / WheatWine / RyeWine
505,31.0,Porter
506,71.0,IPA
507,22.0,Porter
508,33.0,Stout
509,23.0,Pale Ale - American / APA
510,19.0,Pale Ale - American / APA
511,21.0,Porter
512,25.0,Porter
513,21.0,Specialty Grain - Other
514,45.0,IPA
515,11.0,Wheat Ale
516,19.0,Flavored - Fruit
517,17.0,Dark Lager - Dunkel / Tmavý
518,26.0,Pale Ale - American / APA
519,49.0,Specialty Grain - Other
520,20.0,Saison / Farmhouse - Dark
521,40.0,Pilsener / Pils / Pilsner
522,17.0,Weissbier - Hefeweizen
523,24.0,Weissbier - Dunkelweizen
524,29.0,Porter - Smoked
525,16.0,Cream Ale
526,66.0,Red Ale / Intl Amber Ale
527,19.0,Dubbel
528,40.0,Belgian Ale - Strong Pale
529,43.0,Pilsener / Pils / Pilsner
530,19.0,Witbier / Belgian White Ale
531,27.0,Pale Ale - American / APA
532,30.0,Schwarzbier / Black Lager
533,75.0,BarleyWine / WheatWine / RyeWine
534,74.0,IIPA - Imperial / Double IPA
535,29.0,Bock - Doppelbock
536,26.0,Blonde Ale / Golden Ale
537,20.0,Tripel
538,29.0,Belgian Ale - Pale / Golden
539,38.0,Brown Ale
540,25.0,Wheat Ale
541,16.0,Wheat Ale
542,18.0,Brown Ale
543,74.0,IIPA - Imperial / Double IPA
544,80.0,IIPA - Imperial / Double IPA
545,92.0,IPA
546,25.0,Flavored - Fruit
547,12.0,Saison / Farmhouse / Grisette
548,95.0,IIPA - Imperial / Double IPA
549,40.0,Belgian Ale - Strong Pale
550,28.0,Belgian Ale - Strong Pale
551,55.0,Stout - Dry
552,20.0,Tripel
553,45.0,Blonde Ale / Golden Ale
554,52.0,BarleyWine / WheatWine / RyeWine
555,18.0,Flavored - Fruit
556,11.0,Flavored - Fruit
557,23.0,Scottish Ale
558,24.0,Belgian Ale - Pale / Golden
559,46.0,Red Ale / Intl Amber Ale
560,27.0,Flavored - Other
561,71.0,IPA
562,46.0,Strong Ale - English
563,29.0,Belgian Ale - Pale / Golden
564,23.0,Witbier / Belgian White Ale
565,23.0,Stout - Milk / Sweet
566,46.0,IPA - Hazy / NEIPA
567,13.0,Witbier / Belgian White Ale
568,21.0,Sour / Wild Beer - Flavored
569,13.0,Witbier / Belgian White Ale
570,35.0,Saison/Farmhouse - Flavored
571,18.0,Flavored - Fruit
572,25.0,Saison / Farmhouse / Grisette
573,55.0,ISA - Session IPA
574,24.0,Stout
575,31.0,Flavored - Other
576,52.0,IPA - Hazy / NEIPA
577,52.0,IPA - Milkshake
578,17.0,Blonde Ale / Golden Ale
579,18.0,Kölsch / Kölsch-Style
580,51.0,IPA
581,22.0,Stout - Milk / Sweet
582,85.0,IIPA - Imperial / Double IPA
583,40.0,Flavored - Fruit
584,40.0,BarleyWine / WheatWine / RyeWine
585,48.0,Stout - Imperial
586,52.0,IPA
587,42.0,Flavored - Other
588,35.0,BarleyWine / WheatWine / RyeWine
589,10.0,Weissbier - Hefeweizen
590,30.0,Belgian Ale - Strong Pale
591,22.0,Belgian Ale - Pale / Golden
592,30.0,Tripel
593,73.0,IPA
594,25.0,Kölsch / Kölsch-Style
595,25.0,Saison / Farmhouse / Grisette
596,25.0,Bock- Heller Bock / Maibock
597,19.0,Specialty Grain - Other
598,19.0,Saison / Farmhouse / Grisette
599,28.0,Schwarzbier / Black Lager
600,26.0,Scottish Ale
601,35.0,Stout
602,15.0,Mild Ale
603,67.0,IPA
604,13.0,Weissbier - Hefeweizen
605,21.0,Blonde Ale / Golden Ale
606,35.0,Strong Ale - American
607,77.0,BarleyWine / WheatWine / RyeWine
608,21.0,Brown Ale
609,60.0,IPA
610,25.0,Red Ale / Intl Amber Ale
611,15.0,Flavored - Other
612,96.0,Stout - Imperial
613,13.0,Wheat Ale
614,73.0,Pale Ale - American / APA
615,26.0,Stout - Milk / Sweet
616,3.0,Stout
617,40.0,Wheat Ale
618,38.0,Brown Ale
619,15.0,Blonde Ale / Golden Ale
620,27.0,Pale Ale - English
621,20.0,Wheat Ale
622,75.0,IPA
623,74.0,IPA
624,75.0,IPA
625,26.0,Scottish Ale
626,15.0,Pale Lager - North Am. / Light
627,62.0,IPA
628,70.0,Strong Ale - English
629,24.0,Red Ale / Intl Amber Ale
630,25.0,Dubbel
631,17.0,Blonde Ale / Golden Ale
632,23.0,Bock - Dunkler Bock
633,10.0,Weissbier - Hefeweizen
634,70.0,IPA
635,40.0,Stout - Dry
636,16.0,Blonde Ale / Golden Ale
637,23.0,Pilsener - Czech / Svetlý
638,50.0,Bitter - Premium / Strong / ESB
639,31.0,Tripel
640,16.0,Witbier / Belgian White Ale
641,24.0,Scotch Ale / Wee Heavy
642,75.0,Stout - Imperial
643,12.0,BarleyWine / WheatWine / RyeWine
644,40.0,California Common / Steam Beer
645,82.0,Schwarzbier / Black Lager
646,35.0,Porter
647,18.0,Scottish Ale
648,11.0,Mead
649,36.0,Saison / Farmhouse / Grisette
650,16.0,Blonde Ale / Golden Ale
651,18.0,Smoked - Rauchbier
652,69.0,ISA - Session IPA
653,85.0,IPA
654,24.0,Gose
655,35.0,Brown Ale
656,21.0,Helles / Dortmunder Export
657,25.0,Stout
658,31.0,Flavored - Fruit
659,67.0,IPA
660,14.0,Kölsch / Kölsch-Style
661,10.0,Gose
662,64.0,Stout - Imperial
663,67.0,IPA - Rye
664,90.0,IPA
665,24.0,Stout - Milk / Sweet
666,64.0,Stout - Imperial
667,55.0,IPA
668,116.0,BarleyWine / WheatWine / RyeWine
669,53.0,IPA
670,35.0,Stout
671,98.0,Stout - Imperial
672,28.0,Flavored - Other
673,98.0,Sour / Wild Beer
674,42.0,Pale Ale - American / APA
675,30.0,Stout - Milk / Sweet
676,23.0,Belgian Ale - Pale / Golden
677,18.0,Brown Ale
678,6.0,BarleyWine / WheatWine / RyeWine
679,15.0,Flavored - Other
680,25.0,Flavored - Other
681,28.0,Sour / Wild Beer
682,29.0,Stout - Dry
683,31.0,Stout
684,31.0,Porter
685,30.0,Stout
686,80.0,IIPA - Imperial / Double IPA
687,57.0,IPA - Black/Brown/Cascadian Dark
688,30.0,Pale Ale - American / APA
689,35.0,Pale Ale - American / APA
690,33.0,Pale Ale - American / APA
691,25.0,Saison / Farmhouse / Grisette
692,21.0,Porter
693,18.0,Porter
694,20.0,Tripel
695,48.0,IPA
696,45.0,Sour / Wild Beer
697,62.0,IPA
698,16.0,Witbier / Belgian White Ale
699,58.0,IPA
700,26.0,Wheat Ale
701,16.0,Brown Ale
702,16.0,Sour / Wild Beer
703,20.0,Flavored - Fruit
704,50.0,ISA - Session IPA
705,21.0,Flavored - Fruit
706,29.0,Belgian Ale - Pale / Golden
707,22.0,Saison / Farmhouse / Grisette
708,20.0,Sour / Wild Beer
709,28.0,Saison / Farmhouse / Grisette
710,38.0,IPA - White
711,19.0,Sour/Wild - Dark
712,40.0,IPA - Hazy / NEIPA
713,23.0,Sour / Wild Beer
714,11.0,Blonde Ale / Golden Ale
715,20.0,Stout
716,75.0,IPA
717,35.0,Red Ale / Intl Amber Ale
718,12.0,Witbier / Belgian White Ale
719,77.0,Stout - Imperial
720,48.0,Stout
721,10.0,Dubbel
722,13.0,Flavored - Fruit
723,85.0,IIPA - Imperial / Double IPA
724,30.0,Pilsener / Pils / Pilsner
725,33.0,Red Ale / Intl Amber Ale
726,31.0,Sour / Wild Beer
727,40.0,Stout - Milk / Sweet
728,40.0,Strong Ale - American
729,18.0,Amber Lager - Intl / Vienna
730,16.0,Pale Lager - North Am. / Light
731,18.0,Weissbier - Hefeweizen
732,26.0,Flavored - Fruit
733,23.0,Pale Ale - English
734,24.0,Märzen / Oktoberfest Bier
735,17.0,Dubbel
736,10.0,Pale Lager - Intl / Premium
737,35.0,Saison / Farmhouse / Grisette
738,10.0,Blonde Ale / Golden Ale
739,30.0,Tripel
740,18.0,Weissbier - Hefeweizen
741,25.0,Porter
742,15.0,Stout
743,10.0,Scotch Ale / Wee Heavy
744,55.0,IPA
745,30.0,Stout - Dry
746,90.0,BarleyWine / WheatWine / RyeWine
747,26.0,Quadrupel / Abt
748,29.0,Porter
749,71.0,IPA
750,19.0,Scotch Ale / Wee Heavy
751,17.0,Blonde Ale / Golden Ale
752,20.0,Belgian Ale - Strong Pale
753,16.0,Cream Ale
754,10.0,Lambic - Fruited
755,25.0,Saison / Farmhouse / Grisette
756,62.0,IPA - Black/Brown/Cascadian Dark
757,5.0,Sour - Flanders Red / Bruin
758,64.0,IPA
759,100.0,IPA - Black/Brown/Cascadian Dark
760,22.0,Porter
761,7.0,Berliner Weisse
762,34.0,Wheat Ale
763,122.0,IPA - Sour / Wild
764,22.0,Kölsch / Kölsch-Style
765,14.0,Belgian Ale - Pale / Golden
766,24.0,Kölsch / Kölsch-Style
767,41.0,Stout - Imperial
768,37.0,Red Ale / Intl Amber Ale
769,27.0,Belgian Ale - Pale / Golden
770,75.0,IPA
771,41.0,Porter
772,82.0,IIPA - Imperial / Double IPA
773,63.0,IPA
774,90.0,BarleyWine / WheatWine / RyeWine
775,70.0,IPA
776,30.0,Stout
777,120.0,IIPA - Imperial / Double IPA
778,62.0,Pale Ale - American / APA
779,32.0,ISA - Session IPA
780,11.0,Gose
781,35.0,Pale Ale - American / APA
782,31.0,Brown Ale
783,30.0,Saison / Farmhouse / Grisette
784,76.0,IPA
785,13.0,Weissbier - Hefeweizen
786,55.0,Wheat Ale
787,30.0,Pale Ale - American / APA
788,16.0,Pilsener - Czech / Svetlý
789,11.0,Gose - Flavored
790,13.0,Berliner Weisse
791,40.0,Old Ale
792,40.0,Old Ale
793,40.0,Old Ale
794,77.0,IIPA - Imperial / Double IPA
795,15.0,Wheat Ale
796,14.0,Blonde Ale / Golden Ale
797,78.0,IIPA - Imperial / Double IPA
798,16.0,Gose
799,50.0,IPA
800,80.0,IIPA - Imperial / Double IPA
801,100.0,IIPA - Imperial / Double IPA
802,40.0,Pale Ale - American / APA
803,17.0,IPA
804,17.0,Kölsch / Kölsch-Style
805,16.0,Gose
806,75.0,IPA
807,64.0,Porter
808,16.0,Sour / Wild Beer
809,16.0,Gose
810,16.0,Gose
811,26.0,Blonde Ale / Golden Ale
812,18.0,Red Ale / Intl Amber Ale
813,17.0,Wheat Ale
814,78.0,IPA
815,28.0,Stout - Imperial
816,22.0,Stout
817,13.0,Berliner Weisse
818,60.0,IIPA - Imperial / Double IPA
819,34.0,Old Ale
820,35.0,Specialty Grain - Other
821,60.0,IPA - Hazy / NEIPA
822,38.0,Porter
823,14.0,Gose
824,52.0,Stout
825,67.0,IPA - Black/Brown/Cascadian Dark
826,16.0,Gose
827,28.0,Sour - Flanders Red / Bruin
828,31.0,Saison / Farmhouse / Grisette
829,15.0,Amber Lager - Intl / Vienna
830,42.0,IPA
831,51.0,Stout - Imperial
832,11.0,Gose
833,16.0,Scottish Ale
834,30.0,Red Ale / Intl Amber Ale
835,38.0,Red Ale / Intl Amber Ale
836,62.0,Flavored - Fruit
837,12.0,Gose
838,81.0,Stout - Imperial
839,60.0,IPA
