,ibu,style
41254,68.0,IPA
41255,34.0,Pale Ale - American / APA
41256,50.0,IPA
41257,21.0,Saison / Farmhouse / Grisette
41258,71.0,IPA - Black/Brown/Cascadian Dark
41259,70.0,Red Ale / Intl Amber Ale
41260,49.0,ISA - Session IPA
41261,8.0,Sour / Wild Beer
41262,30.0,Saison / Farmhouse / Grisette
41263,35.0,Red Ale / Intl Amber Ale
41264,1.0,Gose
41265,75.0,Strong Ale - American
41266,51.0,IIPA - Imperial / Double IPA
41267,90.0,IIPA - Imperial / Double IPA
41268,25.0,Bock - Doppelbock
41269,45.0,Old Ale
41270,35.0,Pale Ale - American / APA
41271,10.0,Saison / Farmhouse / Grisette
41272,34.0,Pilsener / Pils / Pilsner
41273,32.0,Scotch Ale / Wee Heavy
41274,32.0,Pale Ale - American / APA
41275,15.0,Mild Ale
41276,19.0,Dubbel
41277,34.0,ISA - Session IPA
41278,31.0,IPA - Hazy / NEIPA
41279,30.0,Saison / Farmhouse / Grisette
41280,2.0,Sour / Wild Beer
41281,28.0,Kölsch / Kölsch-Style
41282,31.0,Porter
41283,51.0,Saison / Farmhouse / Grisette
41284,30.0,Porter
41285,50.0,BarleyWine / WheatWine / RyeWine
41286,10.0,Brown Ale
41287,54.0,IPA
41288,35.0,Pale Ale - American / APA
41289,65.0,IPA
41290,25.0,Saison / Farmhouse / Grisette
41291,26.0,Saison / Farmhouse / Grisette
41292,24.0,Saison / Farmhouse / Grisette
41293,20.0,Blonde Ale / Golden Ale
41294,33.0,Stout
41295,33.0,Stout - Milk / Sweet
41296,48.0,Bitter - Premium / Strong / ESB
41297,55.0,Strong Ale - English
41299,20.0,Tripel
41300,45.0,BarleyWine / WheatWine / RyeWine
41301,22.0,Dubbel
41302,22.0,Pilsener - Czech / Svetlý
41303,20.0,Bière de Garde / de Mars
41304,16.0,Sour / Wild Beer
41305,30.0,Sour - Flanders Red / Bruin
41306,20.0,Belgian Ale - Pale / Golden
41307,60.0,IPA
41308,40.0,Pale Ale - American / APA
41309,18.0,Porter
41310,15.0,Flavored - Fruit
41311,25.0,Saison / Farmhouse / Grisette
41312,60.0,IPA
41313,50.0,IPA
41314,16.0,Witbier / Belgian White Ale
41315,43.0,Red Ale / Intl Amber Ale
41316,26.0,Pale Ale - English
41317,17.0,Flavored - Fruit
41318,15.0,Blonde Ale / Golden Ale
41319,29.0,Schwarzbier / Black Lager
41320,37.0,Brown Ale
41321,37.0,Stout
41322,54.0,IPA - Black/Brown/Cascadian Dark
41323,16.0,Mild Ale
41324,20.0,Wheat Ale
41325,19.0,Traditional Ale - Other
41326,70.0,IPA
41327,36.0,Porter - Imperial
41328,23.0,Amber Lager - Intl / Vienna
41329,15.0,Blonde Ale / Golden Ale
41330,40.0,Pale Ale - American / APA
41331,48.0,Pale Ale - American / APA
41332,22.0,Märzen / Oktoberfest Bier
41333,29.0,Red Ale / Intl Amber Ale
41334,38.0,Stout
41335,51.0,ISA - Session IPA
41336,29.0,Flavored - Other
41337,24.0,Amber Lager - Intl / Vienna
41338,48.0,IPA
41339,58.0,IPA
41340,48.0,IPA
41341,60.0,IIPA - Imperial / Double IPA
41342,24.0,Blonde Ale / Golden Ale
41343,62.0,Pilsener / Pils / Pilsner
41344,15.0,Zwickelbier/Kellerbier/Landbier
41345,38.0,Pilsener - Czech / Svetlý
41346,45.0,Pale Lager - India / Hoppy
41347,30.0,IPA - Hazy / NEIPA
41348,10.0,Witbier / Belgian White Ale
41349,40.0,Stout - Imperial
41350,30.0,Stout
41351,50.0,Flavored - Other
41352,30.0,ISA - Session IPA
41353,20.0,ISA - Session IPA
41354,40.0,IPA
41355,8.0,Berliner Weisse
41356,60.0,IPA
41357,58.0,Stout - Imperial
41358,17.0,Flavored - Fruit
41359,8.0,Pale Lager - North Am. / Light
41360,35.0,Pale Ale - American / APA
41361,23.0,Amber Lager - Intl / Vienna
41362,15.0,Weissbier - Dunkelweizen
41363,35.0,Zwickelbier/Kellerbier/Landbier
41364,24.0,Märzen / Oktoberfest Bier
41365,12.0,Amber Lager - Intl / Vienna
41366,36.0,Pale Ale - American / APA
41367,20.0,Stout
41368,50.0,Belgian Ale - Pale / Golden
41369,12.0,Gose
41370,12.0,Gose
41371,25.0,Red Ale / Intl Amber Ale
41373,35.0,Pale Ale - American / APA
41374,15.0,Witbier / Belgian White Ale
41375,45.0,Pale Ale - American / APA
41376,35.0,Porter
41377,21.0,Sour - Flanders Red / Bruin
41378,28.0,Saison / Farmhouse / Grisette
41379,20.0,Saison / Farmhouse / Grisette
41380,24.0,California Common / Steam Beer
41381,20.0,Blonde Ale / Golden Ale
41382,19.0,Saison / Farmhouse / Grisette
41383,8.0,Berliner Weisse
41384,17.0,Sour / Wild Beer
41385,20.0,Brown Ale
41386,38.0,Old Ale
41387,25.0,Dubbel
41388,40.0,Bitter - Premium / Strong / ESB
41389,50.0,IPA
41390,50.0,IPA
41391,12.0,Witbier / Belgian White Ale
41392,16.0,Specialty Grain - Other
41393,36.0,Bitter - Premium / Strong / ESB
41394,21.0,Cream Ale
41395,18.0,Witbier / Belgian White Ale
41396,31.0,Blonde Ale / Golden Ale
41397,58.0,IPA
41398,35.0,Stout - Dry
41399,40.0,Pale Ale - English
41400,30.0,Porter
41401,20.0,Scottish Ale
41402,23.0,Bock - Weizenbock
41403,32.0,Stout
41404,25.0,Amber Lager - Intl / Vienna
41405,17.0,Weissbier - Hefeweizen
41406,15.0,Saison / Farmhouse / Grisette
41407,10.0,Tripel
41408,82.0,IPA
41409,17.0,Cream Ale
41410,18.0,Wheat Ale
41411,20.0,Flavored - Other
41412,67.0,IPA
41413,22.0,Helles / Dortmunder Export
41414,20.0,Kölsch / Kölsch-Style
41415,35.0,Saison / Farmhouse / Grisette
41416,34.0,Blonde Ale / Golden Ale
41417,20.0,Amber Lager - Intl / Vienna
41418,25.0,Blonde Ale / Golden Ale
41419,26.0,Stout - Milk / Sweet
41420,16.0,Witbier / Belgian White Ale
41421,11.0,Wheat Ale
41422,25.0,Stout - Milk / Sweet
41423,17.0,Flavored - Other
41424,68.0,IPA
41425,80.0,IIPA - Imperial / Double IPA
41426,26.0,Bock - Weizenbock
41427,24.0,Flavored - Other
41428,32.0,Stout - Imperial
41429,22.0,Porter - Smoked
41430,23.0,Blonde Ale / Golden Ale
41431,23.0,Blonde Ale / Golden Ale
41432,65.0,IPA
41433,29.0,Smoked - Rauchbier
41434,23.0,Weissbier - Hefeweizen
41435,25.0,Flavored - Fruit
41436,25.0,Flavored - Fruit
41437,25.0,BarleyWine / WheatWine / RyeWine
41438,40.0,Pale Ale - American / APA
41439,40.0,Porter
41440,32.0,Saison / Farmhouse / Grisette
41441,37.0,Porter - Imperial
41442,37.0,Porter - Imperial
41443,25.0,Flavored - Other
41444,25.0,Witbier / Belgian White Ale
41445,28.0,Flavored - Other
41446,27.0,Flavored - Fruit
41447,27.0,Flavored - Other
41448,60.0,IPA
41449,58.0,IPA
41450,20.0,Stout
41451,23.0,Blonde Ale / Golden Ale
41452,23.0,Kölsch / Kölsch-Style
41453,54.0,Wheat Ale
41454,82.0,IPA
41455,30.0,Saison / Farmhouse / Grisette
41456,62.0,IPA - Milkshake
41457,58.0,IPA - Hazy / NEIPA
41458,37.0,Porter
41459,37.0,Porter
41460,27.0,Weissbier - Hefeweizen
41461,20.0,Cream Ale
41462,103.0,IIPA - Imperial / Double IPA
41463,27.0,Belgian Ale - Pale / Golden
41464,20.0,Saison / Farmhouse / Grisette
41465,90.0,IIPA - Imperial / Double IPA
41466,40.0,Stout
41467,28.0,Saison / Farmhouse / Grisette
41468,55.0,IPA
41469,7.0,Berliner Weisse
41470,17.0,Blonde Ale / Golden Ale
41471,35.0,Bitter - Premium / Strong / ESB
41472,12.0,Wheat Ale
41473,5.0,Dubbel
41474,12.0,Pale Lager - North Am. / Light
41475,12.0,Pale Lager - North Am. / Light
41476,40.0,Porter
41477,64.0,IPA
41478,45.0,Pale Ale - American / APA
41479,42.0,Porter
41480,90.0,IPA - Black/Brown/Cascadian Dark
41481,24.0,Brown Ale
41482,49.0,Red Ale / Intl Amber Ale
41483,30.0,Stout
41484,30.0,Blonde Ale / Golden Ale
41485,24.0,Pale Lager - North Am. / Light
41486,70.0,IPA
41487,69.0,IPA
41488,79.0,IPA
41489,89.0,IPA
41490,40.0,ISA - Session IPA
41491,51.0,IIPA - Imperial / Double IPA
41492,47.0,IPA
41493,29.0,Brown Ale
41494,47.0,IPA
41495,5.0,Sour / Wild Beer
41496,25.0,Saison / Farmhouse / Grisette
41497,80.0,IPA
41498,8.0,Blonde Ale / Golden Ale
41499,75.0,ISA - Session IPA
41500,35.0,Bitter - Premium / Strong / ESB
41501,15.0,Blonde Ale / Golden Ale
41502,55.0,IPA
41503,15.0,Blonde Ale / Golden Ale
41504,25.0,Kölsch / Kölsch-Style
41505,8.0,Saison / Farmhouse / Grisette
41506,8.0,Saison / Farmhouse / Grisette
41507,40.0,Flavored - Other
41508,75.0,Traditional Ale - Other
41509,95.0,Pilsener - Imperial
41510,100.0,IIPA - Imperial / Double IPA
41511,95.0,IIPA - Imperial / Double IPA
41512,36.0,Flavored - Other
41513,34.0,Bock - Doppelbock
41514,47.0,Altbier / Sticke Alt
41515,24.0,Amber Lager - Intl / Vienna
41516,15.0,Weissbier - Hefeweizen
41517,50.0,IPA - Hazy / NEIPA
41518,24.0,Kölsch / Kölsch-Style
41519,32.0,Bock- Heller Bock / Maibock
41520,28.0,Märzen / Oktoberfest Bier
41521,24.0,Red Ale / Intl Amber Ale
41522,27.0,Blonde Ale / Golden Ale
41523,87.0,IPA
41524,54.0,Pale Ale - American / APA
41525,35.0,Stout
41526,7.0,Weissbier - Hefeweizen
41527,10.0,Flavored - Other
41528,31.0,Porter - Baltic
41529,16.0,Stout - Dry
41530,44.0,IPA - White
41531,19.0,Scotch Ale / Wee Heavy
41532,65.0,IIPA - Imperial / Double IPA
41533,64.0,Flavored - Other
41534,18.0,Weissbier - Hefeweizen
41535,11.0,Weissbier - Dunkelweizen
41536,11.0,Pale Lager - Intl / Premium
41537,17.0,Saison / Farmhouse / Grisette
41538,19.0,Kölsch / Kölsch-Style
41539,23.0,Flavored - Other
41540,21.0,Flavored - Other
41541,36.0,Saison / Farmhouse - Dark
41542,23.0,Tripel
41543,34.0,Pale Ale - English
41544,16.0,Stout
41545,50.0,IPA - Hazy / NEIPA
41546,6.0,Gose
41547,36.0,Porter - Imperial
41548,27.0,Saison / Farmhouse / Grisette
41549,20.0,Saison / Farmhouse / Grisette
41550,15.0,Porter
41551,37.0,Pilsener / Pils / Pilsner
41552,8.0,Berliner Weisse
41553,28.0,Saison / Farmhouse / Grisette
41554,37.0,Pale Ale - American / APA
41555,40.0,IPA - Milkshake
41556,21.0,Saison/Farmhouse - Flavored
41557,56.0,Stout - Imperial Flavored
41558,35.0,Porter
41559,56.0,IPA - Hazy / NEIPA
41560,61.0,Stout - Milk / Sweet
41561,57.0,IPA
41562,81.0,IPA
41563,5.0,Berliner Weisse
41564,31.0,Porter
41565,30.0,Weissbier - Hefeweizen
41566,22.0,Weissbier - Hefeweizen
41567,44.0,Pale Ale - American / APA
41568,21.0,Blonde Ale / Golden Ale
41569,60.0,IPA
41570,55.0,IPA
41571,30.0,Scotch Ale / Wee Heavy
41572,44.0,Bitter - Premium / Strong / ESB
41573,45.0,Pale Lager - India / Hoppy
41574,58.0,IPA
41575,36.0,Altbier / Sticke Alt
41576,43.0,Flavored - Other
41577,25.0,Berliner Weisse
41578,52.0,IPA - Black/Brown/Cascadian Dark
41579,50.0,IPA
41580,35.0,Pilsener / Pils / Pilsner
41581,33.0,Stout
41582,68.0,IPA
41583,30.0,Bière de Garde / de Mars
41584,25.0,Brown Ale
41585,45.0,Pale Lager - India / Hoppy
41586,22.0,Belgian Ale - Strong Pale
41587,30.0,Pilsener - Czech / Svetlý
41588,25.0,Saison / Farmhouse / Grisette
41589,80.0,IIPA - Imperial / Double IPA
41590,17.0,Belgian Ale - Pale / Golden
41591,32.0,Blonde Ale / Golden Ale
41592,61.0,IPA
41593,31.0,Tripel
41594,45.0,Porter - Imperial
41595,48.0,ISA - Session IPA
41596,59.0,IPA
41597,36.0,Porter
41598,45.0,ISA - Session IPA
41599,37.0,Stout
41600,38.0,Märzen / Oktoberfest Bier
41601,8.0,Saison / Farmhouse / Grisette
41602,30.0,Pilsener / Pils / Pilsner
41603,27.0,ISA - Session IPA
41604,35.0,Schwarzbier / Black Lager
41605,56.0,IPA
41606,36.0,Pale Ale - American / APA
41607,23.0,Amber Lager - Intl / Vienna
41608,60.0,IIPA - Imperial / Double IPA
41609,60.0,IIPA - Imperial / Double IPA
41610,20.0,Pale Lager - North Am. / Light
41611,20.0,Pale Ale - American / APA
41612,17.0,Altbier / Sticke Alt
41613,26.0,Brown Ale
41614,28.0,Stout
41615,27.0,Flavored - Other
41616,14.0,Wheat Ale
41617,100.0,IIPA - Imperial / Double IPA
41618,55.0,IPA - Milkshake
41619,90.0,IIPA - Imperial / Double IPA
41620,80.0,Sour / Wild Beer
41621,64.0,Pale Ale - American / APA
41622,88.0,IPA - Hazy / NEIPA
41623,80.0,IPA - Hazy / NEIPA
41624,94.0,IPA - Hazy / NEIPA
41625,96.0,IPA - Hazy / NEIPA
41626,78.0,IPA - Hazy / NEIPA
41627,78.0,IPA - Hazy / NEIPA
41628,36.0,Saison / Farmhouse / Grisette
41629,36.0,Saison / Farmhouse / Grisette
41630,28.0,Wheat Ale
41631,23.0,IPA
41632,45.0,Pale Ale - American / APA
41633,34.0,Red Ale / Intl Amber Ale
41634,26.0,Saison / Farmhouse / Grisette
41635,18.0,Witbier / Belgian White Ale
41636,8.0,Gose
41637,8.0,Gose
41638,57.0,Stout
41639,64.0,Stout - Imperial
41640,64.0,Stout - Imperial
41641,95.0,IIPA - Imperial / Double IPA
41642,25.0,Saison / Farmhouse / Grisette
41643,27.0,Stout
41644,82.0,IPA
41645,18.0,Scottish Ale
41646,76.0,IIPA - Imperial / Double IPA
41647,21.0,Märzen / Oktoberfest Bier
41648,26.0,Saison / Farmhouse / Grisette
41649,26.0,Saison / Farmhouse / Grisette
41650,55.0,Stout - Extra / Foreign
41651,16.0,Cream Ale
41652,16.0,IPA
41653,31.0,Bitter - Premium / Strong / ESB
41654,21.0,Saison / Farmhouse / Grisette
41655,58.0,IPA - Hazy / NEIPA
41656,7.0,Berliner Weisse
41658,25.0,Belgian Ale - Strong Pale
41659,19.0,Red Ale / Intl Amber Ale
41660,21.0,Kölsch / Kölsch-Style
41661,10.0,Amber Lager - Intl / Vienna
41662,20.0,Flavored - Fruit
41663,33.0,Pilsener / Pils / Pilsner
41664,24.0,Porter
41665,24.0,Porter
41666,41.0,Pale Ale - American / APA
41667,13.0,Blonde Ale / Golden Ale
41668,50.0,ISA - Session IPA
41669,60.0,IPA
41670,13.0,Witbier / Belgian White Ale
41671,72.0,IPA
41672,20.0,Weissbier - Dunkelweizen
41673,35.0,Pale Ale - American / APA
41674,25.0,Porter
41675,130.0,IPA - Black/Brown/Cascadian Dark
41676,35.0,Pilsener / Pils / Pilsner
41677,103.0,Traditional Ale - Other
41678,58.0,Saison / Farmhouse / Grisette
41679,50.0,Smoked - Rauchbier
41680,28.0,Saison / Farmhouse / Grisette
41681,50.0,Saison / Farmhouse / Grisette
41682,140.0,Pale Ale - English
41683,90.0,Porter
41684,34.0,Belgian Ale - Strong Pale
41685,38.0,Gose
41686,162.0,Stout - Imperial
41687,35.0,Saison / Farmhouse / Grisette
41688,8.0,Traditional Ale - Other
41689,15.0,Dark Lager - Dunkel / Tmavý
41690,20.0,Sour / Wild Beer
41691,18.0,Saison / Farmhouse / Grisette
41692,188.0,Traditional Ale - Other
41693,5.0,Sour / Wild Beer
41694,150.0,Stout - Imperial
41695,63.0,Sour / Wild Beer
41696,50.0,Brown Ale
41697,56.0,IPA
41698,60.0,Red Ale / Intl Amber Ale
41699,66.0,IPA
41700,25.0,Kölsch / Kölsch-Style
41701,100.0,IIPA - Imperial / Double IPA
41702,25.0,Blonde Ale / Golden Ale
41703,38.0,Pilsener / Pils / Pilsner
41704,14.0,Weissbier - Hefeweizen
41705,13.0,Weissbier - Hefeweizen
41706,25.0,Red Ale - Irish
41707,46.0,Pale Ale - American / APA
41708,71.0,IPA
41709,49.0,Red Ale - Irish
41710,95.0,IPA
41711,33.0,Porter - Imperial
41712,25.0,Blonde Ale / Golden Ale
41713,19.0,Cream Ale
41714,20.0,Wheat Ale
41715,34.0,Saison / Farmhouse / Grisette
41716,63.0,IPA - Black/Brown/Cascadian Dark
41717,68.0,IPA
41718,58.0,Saison / Farmhouse / Grisette
41719,40.0,Wheat Ale
41720,32.0,Porter - Baltic
41721,30.0,Saison / Farmhouse / Grisette
41722,61.0,IPA
41723,39.0,Bitter - Premium / Strong / ESB
41724,62.0,IPA
41725,64.0,IPA
41726,38.0,Pale Ale - American / APA
41727,37.0,Stout
41728,17.0,Blonde Ale / Golden Ale
41729,70.0,IPA
41730,35.0,Pale Ale - American / APA
41731,35.0,Porter
41732,30.0,Stout - Milk / Sweet
41733,50.0,Old Ale
41734,65.0,Pale Ale - American / APA
41735,14.0,Blonde Ale / Golden Ale
41736,36.0,Red Ale / Intl Amber Ale
41737,37.0,Pale Ale - American / APA
41738,20.0,Wheat Ale
41739,20.0,Blonde Ale / Golden Ale
41740,35.0,Blonde Ale / Golden Ale
41741,30.0,Stout
41742,30.0,Belgian Ale - Strong Pale
41743,78.0,Specialty Grain - Other
41744,40.0,ISA - Session IPA
41745,38.0,Pale Ale - American / APA
41746,37.0,Wheat Ale
41747,46.0,Pale Ale - American / APA
41748,25.0,Blonde Ale / Golden Ale
41749,19.0,Saison / Farmhouse / Grisette
41750,25.0,Saison / Farmhouse / Grisette
41751,25.0,Märzen / Oktoberfest Bier
41752,12.0,Belgian Ale - Pale / Golden
41753,36.0,Stout
41754,20.0,Pale Ale - American / APA
41755,32.0,Tripel
41756,38.0,Specialty Grain - Other
41757,65.0,IPA
41758,60.0,IPA
41759,73.0,IPA
41760,75.0,Stout - Imperial
41761,30.0,Bitter - Ordinary / Best
41762,30.0,Saison / Farmhouse - Dark
41763,10.0,Scottish Ale
41764,10.0,Belgian Ale - Pale / Golden
41765,62.0,Saison / Farmhouse / Grisette
41766,15.0,Witbier / Belgian White Ale
41767,35.0,Traditional Ale - Other
41768,11.0,Brown Ale
41769,23.0,Belgian Ale - Pale / Golden
41770,15.0,Flavored - Other
41771,20.0,Quadrupel / Abt
41772,27.0,Saison / Farmhouse / Grisette
41773,58.0,Belgian Ale - Pale / Golden
41774,18.0,Sour / Wild Beer
41775,15.0,Blonde Ale / Golden Ale
41776,40.0,IPA
41777,36.0,Pale Ale - English
41778,20.0,Traditional Ale - Other
41779,22.0,Kölsch / Kölsch-Style
41780,14.0,Specialty Grain - Other
41781,20.0,Wheat Ale
41782,10.0,Saison / Farmhouse / Grisette
41783,34.0,Smoked - Rauchbier
41784,14.0,Amber Lager - Intl / Vienna
41785,20.0,Bitter - Ordinary / Best
41786,60.0,IPA
41787,18.0,Tripel
41788,10.0,Sour / Wild Beer
41789,74.0,Quadrupel / Abt
41790,20.0,Belgian Ale - Strong Pale
41791,40.0,Stout - Extra / Foreign
41792,16.0,Mild Ale
41793,18.0,Brown Ale
41794,80.0,IPA - Black/Brown/Cascadian Dark
41795,23.0,Märzen / Oktoberfest Bier
41796,30.0,Saison / Farmhouse / Grisette
41797,6.0,Sour / Wild Beer
41798,38.0,Stout - Dry
41799,14.0,Sour / Wild Beer
41800,42.0,Belgian Ale - Pale / Golden
41801,25.0,Stout
41802,60.0,Zwickelbier/Kellerbier/Landbier
41803,21.0,Belgian Ale - Pale / Golden
41804,6.0,Berliner Weisse
41805,26.0,Märzen / Oktoberfest Bier
41806,30.0,Flavored - Other
41807,21.0,Stout
41808,21.0,Scotch Ale / Wee Heavy
41809,110.0,IPA
41810,68.0,Pale Ale - American / APA
41811,35.0,Schwarzbier / Black Lager
41812,35.0,Amber Lager - Intl / Vienna
41813,27.0,Flavored - Other
41814,50.0,Dubbel
41815,18.0,Cream Ale
41816,40.0,California Common / Steam Beer
41817,45.0,Pale Ale - American / APA
41818,17.0,Red Ale / Intl Amber Ale
41819,65.0,Brown Ale
41820,32.0,Porter
41821,24.0,Blonde Ale / Golden Ale
41822,30.0,Scotch Ale / Wee Heavy
41823,55.0,Pale Ale - American / APA
41824,37.0,Scottish Ale
41825,35.0,ISA - Session IPA
41826,35.0,Scottish Ale
41827,80.0,IIPA - Imperial / Double IPA
41828,48.0,Stout
41829,54.0,Pale Ale - American / APA
41830,62.0,IPA - Black/Brown/Cascadian Dark
41831,21.0,Stout
41832,55.0,Porter
41833,18.0,Blonde Ale / Golden Ale
41834,19.0,Wheat Ale
41835,24.0,Stout - Milk / Sweet
41836,40.0,Red Ale / Intl Amber Ale
41837,15.0,Stout - Imperial
41838,67.0,IPA
41839,13.0,Witbier / Belgian White Ale
41840,67.0,IPA - Hazy / NEIPA
41841,20.0,Märzen / Oktoberfest Bier
41842,35.0,Stout
41843,50.0,Pale Ale - American / APA
41844,18.0,Cream Ale
41845,21.0,Scotch Ale / Wee Heavy
41846,40.0,Pilsener / Pils / Pilsner
41847,38.0,Pale Ale - American / APA
41848,18.0,Sour / Wild Beer
41849,25.0,Bock- Heller Bock / Maibock
41850,50.0,Porter - Imperial
41851,88.0,IPA
41852,23.0,Stout - Milk / Sweet
41853,20.0,Brown Ale
41854,18.0,Sour - Flanders Red / Bruin
41855,11.0,Blonde Ale / Golden Ale
41856,70.0,IPA
41857,20.0,Brown Ale
41858,36.0,ISA - Session IPA
41859,45.0,Stout - Imperial
41860,15.0,Sour / Wild Beer
41861,15.0,Sour / Wild Beer - Flavored
41862,15.0,Sour / Wild Beer - Flavored
41863,25.0,Red Ale - Irish
41864,25.0,Specialty Grain - Other
41865,75.0,IPA
41866,40.0,IPA
41867,25.0,Red Ale - Irish
41868,15.0,Sour / Wild Beer
41869,65.0,IPA - Hazy / NEIPA
41870,20.0,Märzen / Oktoberfest Bier
41871,14.0,Saison / Farmhouse / Grisette
41872,27.0,Brown Ale
41873,39.0,Pale Ale - American / APA
41874,40.0,Sour / Wild Beer
41875,100.0,IPA - Black/Brown/Cascadian Dark
41876,70.0,IIPA - Imperial / Double IPA
41877,34.0,Stout - Milk / Sweet
41878,14.0,Flavored - Fruit
41879,40.0,Sour / Wild Beer
41880,18.0,Flavored - Other
41881,15.0,Sour / Wild Beer
41882,4.0,Pale Ale - American / APA
41883,22.0,Porter
41884,17.0,Witbier / Belgian White Ale
41885,25.0,Red Ale - Irish
41886,22.0,Porter
41887,31.0,Bitter - Premium / Strong / ESB
41888,18.0,Wheat Ale
41889,1.0,Berliner Weisse
41890,45.0,Stout - Imperial
41891,23.0,Saison / Farmhouse / Grisette
41892,59.0,IPA - Hazy / NEIPA
41893,26.0,Bitter - Ordinary / Best
41894,19.0,Blonde Ale / Golden Ale
41895,72.0,IPA
41896,29.0,Red Ale - Irish
41897,30.0,Stout - Milk / Sweet
41898,34.0,Porter
41899,12.0,Pale Lager - North Am. / Light
41900,30.0,Brown Ale
41901,23.0,Scottish Ale
41902,9.0,Flavored - Fruit
41903,60.0,IPA
41904,36.0,Red Ale / Intl Amber Ale
41905,63.0,IPA
41906,55.0,IPA
41907,100.0,IIPA - Imperial / Double IPA
41908,24.0,Kölsch / Kölsch-Style
41909,10.0,Witbier / Belgian White Ale
41910,18.0,Strong Ale - American
41911,50.0,Porter - Imperial
41912,55.0,Pale Ale - American / APA
41913,29.0,Porter
41914,65.0,IPA - Black/Brown/Cascadian Dark
41915,54.0,Porter - Imperial
41916,14.0,Flavored - Other
41917,32.0,Pale Ale - American / APA
41918,32.0,Pale Ale - American / APA
41919,24.0,Flavored - Other
41920,55.0,Strong Ale - American
41921,43.0,Specialty Grain - Other
41922,15.0,Pale Lager - North Am. / Light
41923,21.0,Amber Lager - Intl / Vienna
41924,22.0,Stout - Milk / Sweet
41925,14.0,Stout
41926,35.0,Saison / Farmhouse / Grisette
41927,15.0,Flavored - Fruit
41928,29.0,Porter
41929,19.0,Flavored - Fruit
41930,19.0,Scottish Ale
41931,14.0,Witbier / Belgian White Ale
41932,70.0,IPA
41933,18.0,Wheat Ale
41934,18.0,Red Ale - Irish
41935,17.0,Traditional Ale - Other
41936,30.0,Pale Ale - American / APA
41937,18.0,Red Ale - Irish
41938,24.0,Stout
41939,24.0,Stout
41940,71.0,IPA
41941,15.0,Pale Ale - English
41942,15.0,Pale Ale - American / APA
41943,27.0,Sour / Wild Beer
41944,20.0,Weissbier - Hefeweizen
41945,45.0,IPA
41946,20.0,Flavored - Other
41947,20.0,Flavored - Fruit
41948,22.0,Brown Ale
41949,7.0,Gose
41950,7.0,Gose
41951,7.0,Gose
41952,25.0,Belgian Ale - Pale / Golden
41953,9.0,Blonde Ale / Golden Ale
41954,60.0,Pale Lager - India / Hoppy
41955,66.0,IPA
41956,40.0,IPA
41957,7.0,Gose
41958,26.0,Porter
41959,26.0,Porter
41960,20.0,Amber Lager - Intl / Vienna
41961,4.0,Berliner Weisse
41962,38.0,Wheat Ale
41963,55.0,IPA - Black/Brown/Cascadian Dark
41964,58.0,IPA
41965,35.0,Stout - Milk / Sweet
41966,30.0,Tripel
41967,27.0,Tripel
41968,30.0,Amber Lager - Intl / Vienna
41969,70.0,IPA - Black/Brown/Cascadian Dark
41970,47.0,Porter - Imperial
41971,55.0,Pale Ale - American / APA
41972,40.0,Pale Ale - American / APA
41973,25.0,Wheat Ale
41974,55.0,Porter
41975,32.0,Brown Ale
41976,100.0,IPA
41977,50.0,Bitter - Premium / Strong / ESB
41978,25.0,Red Ale - Irish
41979,32.0,Brown Ale
41980,25.0,Wheat Ale
41981,30.0,Belgian Ale - Strong Pale
41982,25.0,Flavored - Fruit
41983,30.0,Flavored - Other
41984,38.0,Pale Ale - American / APA
41985,85.0,IPA - White
41986,25.0,Flavored - Fruit
41987,25.0,Stout - Milk / Sweet
41988,42.0,Pale Ale - American / APA
41989,24.0,Cream Ale
41990,34.0,Brown Ale
41991,66.0,ISA - Session IPA
41992,23.0,Red Ale - Irish
41993,23.0,Red Ale - Irish
41994,61.0,IPA
41995,35.0,Pale Ale - English
41996,58.0,IPA
41997,26.0,Red Ale / Intl Amber Ale
41998,60.0,Sour / Wild Beer
41999,29.0,Porter
42000,10.0,Sour / Wild Beer
42001,3.0,Sour / Wild Beer
42002,32.0,Pale Ale - American / APA
42003,74.0,IPA
42004,72.0,IPA
42005,53.0,Red Ale / Intl Amber Ale
42006,48.0,Pale Ale - American / APA
42007,21.0,Strong Ale - American
42008,60.0,Pale Lager - India / Hoppy
42009,69.0,IPA
42010,85.0,Pale Ale - American / APA
42011,100.0,IPA - Black/Brown/Cascadian Dark
42012,40.0,Porter
42013,30.0,Pale Ale - American / APA
42014,35.0,Belgian Ale - Pale / Golden
42015,15.0,Märzen / Oktoberfest Bier
42016,40.0,Brown Ale
42017,20.0,Weissbier - Hefeweizen
42018,100.0,IPA
42019,10.0,Blonde Ale / Golden Ale
42020,50.0,Flavored - Other
42021,80.0,Specialty Grain - Other
42022,40.0,ISA - Session IPA
42023,45.0,Stout - Imperial
42024,95.0,Stout
42025,40.0,Porter
42026,40.0,Porter
42027,35.0,Saison / Farmhouse / Grisette
42028,60.0,Pale Ale - American / APA
42029,100.0,IIPA - Imperial / Double IPA
42030,17.0,Wheat Ale
42031,16.0,Blonde Ale / Golden Ale
42032,45.0,ISA - Session IPA
42033,5.0,Berliner Weisse
42034,75.0,IIPA - Imperial / Double IPA
42035,30.0,Red Ale / Intl Amber Ale
42036,27.0,Brown Ale
42037,27.0,Brown Ale
42038,22.0,Märzen / Oktoberfest Bier
